!OMP_NUM_THREADS key E v kr eta mu conf
2 1 1.00000E+07 0.00000 0.00000 0.00000 0.00000 5.0E+5
2 2 1.00000E+09 0.10000 0.14286 0.11111 5.45460 5.0E+5
2 3 1.00000E+08 0.20000 0.28571 0.22222 10.90920 5.0E+5
2 4 1.00000E+10 0.30000 0.42857 0.33333 16.36380 5.0E+5
2 5 3.16228E+07 0.40000 0.57143 0.44444 21.81840 5.0E+5
2 6 3.16228E+09 0.02000 0.71429 0.55556 27.27300 5.0E+5
2 7 3.16228E+08 0.12000 0.85714 0.66667 32.72700 5.0E+5
2 8 3.16228E+10 0.22000 0.02041 0.77778 38.18160 5.0E+5
2 9 1.77828E+07 0.32000 0.16327 0.88889 43.63620 5.0E+5
2 10 1.77828E+09 0.42000 0.30612 0.01235 49.09080 5.0E+5
2 11 1.77828E+08 0.04000 0.44898 0.12346 54.54540 5.0E+5
2 12 1.77828E+10 0.14000 0.59184 0.23457 0.49560 5.0E+5
2 13 5.62341E+07 0.24000 0.73469 0.34568 5.95020 5.0E+5
2 14 5.62341E+09 0.34000 0.87755 0.45679 11.40480 5.0E+5
2 15 5.62341E+08 0.44000 0.04082 0.56790 16.85940 5.0E+5
2 16 5.62341E+10 0.06000 0.18367 0.67901 22.31400 5.0E+5
2 17 1.33352E+07 0.16000 0.32653 0.79012 27.76860 5.0E+5
2 18 1.33352E+09 0.26000 0.46939 0.90123 33.22320 5.0E+5
2 19 1.33352E+08 0.36000 0.61224 0.02469 38.67780 5.0E+5
2 20 1.33352E+10 0.46000 0.75510 0.13580 44.13240 5.0E+5
2 21 4.21697E+07 0.08000 0.89796 0.24691 49.58700 5.0E+5
2 22 4.21697E+09 0.18000 0.06122 0.35802 55.04160 5.0E+5
2 23 4.21697E+08 0.28000 0.20408 0.46914 0.99180 5.0E+5
2 24 4.21697E+10 0.38000 0.34694 0.58025 6.44640 5.0E+5
2 25 2.37137E+07 0.48000 0.48980 0.69136 11.90100 5.0E+5
2 26 2.37137E+09 0.00400 0.63265 0.80247 17.35560 5.0E+5
2 27 2.37137E+08 0.10400 0.77551 0.91358 22.81020 5.0E+5
2 28 2.37137E+10 0.20400 0.91837 0.03704 28.26420 5.0E+5
2 29 7.49894E+07 0.30400 0.08163 0.14815 33.71880 5.0E+5
2 30 7.49894E+09 0.40400 0.22449 0.25926 39.17340 5.0E+5
2 31 7.49894E+08 0.02400 0.36735 0.37037 44.62800 5.0E+5
2 32 7.49894E+10 0.12400 0.51020 0.48148 50.08260 5.0E+5
2 33 1.15473E+07 0.22400 0.65306 0.59259 55.53720 5.0E+5
2 34 1.15473E+09 0.32400 0.79592 0.70370 1.48740 5.0E+5
2 35 1.15473E+08 0.42400 0.93878 0.81481 6.94200 5.0E+5
2 36 1.15473E+10 0.04400 0.10204 0.92593 12.39660 5.0E+5
2 37 3.65157E+07 0.14400 0.24490 0.04938 17.85120 5.0E+5
2 38 3.65157E+09 0.24400 0.38776 0.16049 23.30580 5.0E+5
2 39 3.65157E+08 0.34400 0.53061 0.27160 28.76040 5.0E+5
2 40 3.65157E+10 0.44400 0.67347 0.38272 34.21500 5.0E+5
2 41 2.05343E+07 0.06400 0.81633 0.49383 39.66960 5.0E+5
2 42 2.05343E+09 0.16400 0.95918 0.60494 45.12420 5.0E+5
2 43 2.05343E+08 0.26400 0.12245 0.71605 50.57880 5.0E+5
2 44 2.05343E+10 0.36400 0.26531 0.82716 56.03280 5.0E+5
2 45 6.49352E+07 0.46400 0.40816 0.93827 1.98360 5.0E+5
2 46 6.49352E+09 0.08400 0.55102 0.06173 7.43820 5.0E+5
2 47 6.49352E+08 0.18400 0.69388 0.17284 12.89280 5.0E+5
2 48 6.49352E+10 0.28400 0.83673 0.28395 18.34740 5.0E+5
2 49 1.54000E+07 0.38400 0.97959 0.39506 23.80140 5.0E+5
2 50 1.54000E+09 0.48400 0.00292 0.50617 29.25600 5.0E+5
2 51 1.54000E+08 0.00800 0.14577 0.61728 34.71060 5.0E+5
